[marking 0x09b80101e201 <JSFunction hotLoop (sfi = 0x9b80101e171)> for optimization to MAGLEV, ConcurrencyMode::kConcurrent, reason: hot and stable]
[OSR - setting osr urgency. function: hotLoop, old urgency: 0, new urgency: 1]
[OSR - compilation started. function: hotLoop, osr offset: 28, mode: ConcurrencyMode::kSynchronous]
[compiling method 0x09b80101e201 <JSFunction hotLoop (sfi = 0x9b80101e171)> (target MAGLEV) OSR, mode: ConcurrencyMode::kSynchronous]
[completed compiling 0x09b80101e201 <JSFunction hotLoop (sfi = 0x9b80101e171)> (target MAGLEV) OSR - took 0.001, 0.171, 0.019 ms]
[OSR - available (compilation completed or cache hit). function: hotLoop, osr offset: 28, mode: ConcurrencyMode::kSynchronous]
[OSR - entry. function: hotLoop, osr offset: 28]
[marking 0x09b80101e201 <JSFunction hotLoop (sfi = 0x9b80101e171)> for optimization to MAGLEV, ConcurrencyMode::kConcurrent, reason: hot and stable]
[OSR - setting osr urgency. function: hotLoop, old urgency: 0, new urgency: 1]
[OSR - compilation started. function: hotLoop, osr offset: 28, mode: ConcurrencyMode::kSynchronous]
[compiling method 0x09b80101e201 <JSFunction hotLoop (sfi = 0x9b80101e171)> (target MAGLEV) OSR, mode: ConcurrencyMode::kSynchronous]
[completed compiling 0x09b80101e201 <JSFunction hotLoop (sfi = 0x9b80101e171)> (target MAGLEV) OSR - took 0.000, 0.049, 0.003 ms]
[OSR - available (compilation completed or cache hit). function: hotLoop, osr offset: 28, mode: ConcurrencyMode::kSynchronous]
[OSR - entry. function: hotLoop, osr offset: 28]
[OSR - setting osr urgency. function: hotLoop, old urgency: 0, new urgency: 1]
[OSR - setting osr urgency. function: hotLoop, old urgency: 1, new urgency: 2]
[OSR - setting osr urgency. function: hotLoop, old urgency: 2, new urgency: 3]
[OSR - setting osr urgency. function: hotLoop, old urgency: 3, new urgency: 4]
[OSR - setting osr urgency. function: hotLoop, old urgency: 4, new urgency: 5]
[OSR - setting osr urgency. function: hotLoop, old urgency: 5, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
[OSR - setting osr urgency. function: hotLoop, old urgency: 6, new urgency: 6]
