V8 is running with developer-only features enabled. Stability and security will suffer.
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (1.5) -> 0.3 (1.8) MB, pooled: 0.0 MB, 0.08 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (2.8) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.06 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.01 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.01 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.2 (3.0) MB, pooled: 0.0 MB, 0.01 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.2 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        0 ms: Scavenge 1.2 (3.0) -> 0.2 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.2 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.2 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[25220:0x12400f00000]        1 ms: Scavenge 1.2 (3.0) -> 0.3 (3.0) MB, pooled: 0.0 MB, 0.00 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
